timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G)
1482925503.604585,1.467981,-0.114653,-1.186114,-3.660808,1.046812,0.603478,0.988188,0.114402,-0.101960,0.552083,0.169294,0.317808
1482925503.623872,1.500228,-0.105884,-1.109476,-4.027133,1.426955,0.920861,0.991925,0.105686,-0.070115,0.513496,0.207536,0.230479
1482925503.643190,1.539697,-0.087694,-1.027306,-4.217998,1.693518,1.284139,0.995676,0.087582,-0.030975,0.624292,0.227328,0.152629
1482925503.662508,1.578442,-0.060938,-0.942840,-4.451131,1.648124,1.514164,0.998115,0.060900,0.007631,0.741311,0.237496,0.100571
1482925503.681795,1.612848,-0.026927,-0.852378,-4.927983,1.547859,1.718720,0.998754,0.026924,0.042024,0.719798,0.266500,0.083975
1482925503.701112,1.645710,0.013609,-0.749016,-5.851573,1.805755,1.788344,0.997103,-0.013608,0.074837,0.708505,0.186097,0.055721
1482925503.720430,1.677054,0.056617,-0.626681,-6.851448,1.651094,1.540923,0.992767,-0.056587,0.105888,0.870936,0.091110,0.174483
1482925503.739717,1.682262,0.100317,-0.491716,-7.289555,0.308498,1.507082,0.988798,-0.100149,0.110675,1.023092,0.308687,0.283423
1482925503.759035,1.658343,0.147488,-0.349553,-7.676733,-0.633092,1.738614,0.985355,-0.146954,0.086485,0.962088,0.481383,0.168145
1482925503.778352,1.612723,0.190199,-0.195365,-8.136144,-1.202008,1.571728,0.981104,-0.189054,0.041158,0.820962,0.437055,0.008982
1482925503.797639,1.547633,0.217592,-0.035604,-8.123960,-2.096696,1.281727,0.976158,-0.215879,-0.022615,0.751280,0.638430,-0.011900
1482925503.816957,1.458273,0.231356,0.119325,-7.430154,-3.206522,1.140467,0.967201,-0.229298,-0.109294,0.751132,0.837940,-0.141215
1482925503.836275,1.356613,0.229530,0.261698,-6.976363,-3.718173,1.019735,0.951523,-0.227520,-0.206975,0.554631,0.965944,-0.259105
1482925503.855562,1.252816,0.207516,0.395344,-6.662648,-4.002053,0.443474,0.929490,-0.206030,-0.305941,0.358367,0.861970,-0.317263
1482925503.874879,1.146825,0.165280,0.513508,-6.094660,-4.533314,-0.068388,0.899041,-0.164528,-0.405777,0.198804,0.937389,-0.334932
1482925503.894197,1.041649,0.111534,0.604965,-4.949427,-4.903876,-0.407577,0.857874,-0.111303,-0.501661,-0.031972,1.074298,-0.126347
1482925503.913484,0.935427,0.056130,0.664617,-3.756050,-5.568619,-1.028285,0.803585,-0.056101,-0.592540,-0.181352,1.163372,0.183748
1482925503.932819,0.810548,-0.007209,0.688372,-2.794133,-6.873705,-2.133594,0.724646,0.007209,-0.689083,-0.174134,1.331891,0.290742
1482925503.952136,0.678463,-0.075064,0.680181,-1.896726,-6.453459,-3.054242,0.625830,0.074994,-0.776346,-0.280022,1.625710,0.208113
1482925503.971423,0.570396,-0.144250,0.632731,-1.444825,-4.737010,-4.775753,0.534357,0.143750,-0.832946,-0.402499,2.011047,0.338126
1482925503.990741,0.471189,-0.209086,0.538789,0.282961,-3.969449,-6.453550,0.444059,0.207566,-0.871624,-0.223160,2.406691,0.404939
1482925504.010028,0.381747,-0.227892,0.389674,3.496283,-2.111205,-7.600208,0.362910,0.225924,-0.904021,0.064966,2.479669,0.383841
1482925504.029346,0.332668,-0.163622,0.207292,7.917759,0.114003,-7.432323,0.322204,0.162893,-0.932551,0.255551,2.266422,0.544563
1482925504.048663,0.320417,-0.037432,0.025277,9.596189,0.229950,-6.455137,0.314742,0.037424,-0.948439,0.257524,2.148826,1.058074
1482925504.067951,0.330589,0.093410,-0.149253,8.692987,0.461978,-6.299254,0.323185,-0.093274,-0.941728,0.336048,1.658146,1.247432
