timestamp(unix),attitude_roll(radians),attitude_pitch(radians),attitude_yaw(radians),rotation_rate_x(radians/s),rotation_rate_y(radians/s),rotation_rate_z(radians/s),gravity_x(G),gravity_y(G),gravity_z(G),user_acc_x(G),user_acc_y(G),user_acc_z(G)
1482925534.337945,1.776792,0.351615,-2.220966,-0.599559,0.318829,-2.078110,0.918969,-0.344415,0.192028,-1.402889,0.385645,-0.237374
1482925534.357262,1.784730,0.314877,-2.189669,-1.232062,1.373681,-2.287472,0.929159,-0.309700,0.201867,-1.279601,0.284391,-0.389942
1482925534.376580,1.820681,0.272024,-2.155114,-1.015939,3.028963,-2.793684,0.933312,-0.268682,0.238199,-1.104768,0.171363,-0.617466
1482925534.395867,1.873800,0.216497,-2.116307,-1.272733,3.268056,-3.412051,0.932164,-0.214809,0.291423,-0.854133,0.154272,-0.649109
1482925534.415185,1.943028,0.172212,-2.069846,-1.593043,4.603133,-2.539448,0.917739,-0.171362,0.358315,-0.534958,0.011698,-0.454666
1482925534.434502,2.030366,0.151532,-2.040649,-0.314051,4.811603,-0.911444,0.885973,-0.150953,0.438479,-0.002249,0.304697,-0.375463
1482925534.453790,2.124233,0.139170,-2.051674,1.181624,4.526217,-0.108180,0.842498,-0.138721,0.520532,0.582819,0.122007,-0.406589
1482925534.473107,2.190702,0.125281,-2.058865,0.277650,2.703405,-0.493794,0.807554,-0.124953,0.576405,0.742869,-0.355986,-0.148886
1482925534.492425,2.229550,0.117709,-2.055357,0.162773,1.773133,-0.463597,0.785284,-0.117437,0.607896,0.663803,-0.421207,-0.197114
1482925534.511712,2.261771,0.102298,-2.046993,0.014392,1.764452,-1.221006,0.766597,-0.102120,0.633957,0.637309,-0.333917,-0.313013
1482925534.531030,2.299605,0.085371,-2.017086,-0.994539,2.201254,-1.887622,0.743252,-0.085268,0.663556,0.806244,-0.351597,-0.527175
1482925534.550347,2.329471,0.077774,-1.971777,-1.615578,1.279349,-1.726233,0.723554,-0.077696,0.685881,1.055763,-0.279543,-0.756909
1482925534.569634,2.334404,0.080074,-1.934110,-1.344007,-0.027271,-0.953237,0.720031,-0.079989,0.689317,0.865197,-0.174512,-0.944682
